Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#2624 152,13-Oct-20,Tuesday,8,Visa,CVC,£397,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,29.9,Barclays,0
#3498 300,13-Oct-20,Tuesday,19,Visa,CVC,£38,Online,Food,Russia,Russia,Russia,M,80.5,Barlcays,0
#3222 155,13-Oct-20,Tuesday,17,MasterCard,PIN,£25,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,63.3,Monzo,0
#2569 819,14-Oct-20,Wednesday,20,Visa,PIN,£38,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,45.5,Barclays,0
#2980 181,14-Oct-20,Wednesday,9,MasterCard,CVC,£155,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,58.4,Halifax,0
#2788 277,14-Oct-20,Wednesday,9,Visa,CVC,£12,Online,Children,China,China,China,M,47.2,Barclays,0
#3000 512,13-Oct-20,Tuesday,21,Visa,PIN,£9,ATM,Services,Russia,Russia,United Kingdom,F,43.6,Halifax,0
#3355 723,13-Oct-20,Tuesday,17,Visa,CVC,£381,Online,Food,United Kingdom,USA,United Kingdom,F,42.4,Monzo,0
#2723 387,14-Oct-20,Wednesday,17,MasterCard,PIN,£94,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,46.1,Metro,0
#3382 956,14-Oct-20,Wednesday,15,Visa,PIN,£30,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,45.1,Barclays,0
#3435 814,13-Oct-20,Tuesday,22,MasterCard,CVC,£397,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53.3,Metro,0
#2875 854,13-Oct-20,Tuesday,7,Visa,CVC,£16,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,35.4,Barlcays,0
#3580 308,13-Oct-20,Tuesday,18,MasterCard,PIN,£349,ATM,Gaming,USA,USA,United Kingdom,F,52,Barclays,0
#2702 687,13-Oct-20,Tuesday,15,Visa,Tap,£29,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,35,Barclays,0
#2742 819,13-Oct-20,Tuesday,11,Visa,CVC,£49,Online,Electronics,China,China,China,M,50.2,Barclays,0
#2739 758,13-Oct-20,Tuesday,15,Visa,PIN,£270,ATM,Food,Russia,Russia,United Kingdom,M,50.9,Halifax,0
#2946 662,14-Oct-20,Wednesday,18,Visa,Tap,£13,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,58.2,Barclays,0
#3316 175,14-Oct-20,Wednesday,3,MasterCard,PIN,£5,ATM,Services,China,China,United Kingdom,F,62.8,Barlcays,1
#3322 751,14-Oct-20,Wednesday,19,Visa,PIN,£11,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,45,Monzo,0
#3465 158,13-Oct-20,Tuesday,14,Visa,PIN,£314,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,40.4,RBS,0
#2816 517,14-Oct-20,Wednesday,12,Visa,PIN,£320,ATM,Children,United Kingdom,Russia,United Kingdom,M,47.3,Lloyds,0
#3470 100,13-Oct-20,Tuesday,8,Visa,CVC,£6,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,23.3,Metro,0
#2617 497,14-Oct-20,Wednesday,4,Visa,PIN,£206,POS,Children,United Kingdom,India,United Kingdom,M,46.3,Barclays,1
#3537 427,14-Oct-20,Wednesday,23,Visa,PIN,£57,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,26,Barclays,0
#3366 463,13-Oct-20,Tuesday,23,Visa,PIN,£21,ATM,Restaurant,United Kingdom,Russia,United Kingdom,M,72.9,RBS,0
#2828 414,14-Oct-20,Wednesday,7,Visa,CVC,£59,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,48.3,Monzo,0
#2816 113,14-Oct-20,Wednesday,9,MasterCard,PIN,£12,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,50.6,Barclays,0
#2616 954,14-Oct-20,Wednesday,19,Visa,PIN,£26,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,36.6,Monzo,0
#2850 531,13-Oct-20,Tuesday,19,MasterCard,CVC,£153,Online,Food,Russia,United Kingdom,Russia,M,50.3,Barclays,0
#3560 442,13-Oct-20,Tuesday,14,MasterCard,CVC,£27,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,29.7,Lloyds,0
#2769 870,14-Oct-20,Wednesday,17,MasterCard,Tap,£20,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,57,Barclays,0
#2728 567,13-Oct-20,Tuesday,1,MasterCard,Tap,£30,POS,Children,United Kingdom,China,United Kingdom,F,37.2,Barclays,1
#2844 128,13-Oct-20,Tuesday,21,MasterCard,PIN,£123,POS,Children,United Kingdom,USA,United Kingdom,F,38.8,Barclays,0
#3032 120,14-Oct-20,Wednesday,8,MasterCard,PIN,£285,POS,Entertainment,USA,USA,United Kingdom,M,51.2,HSBC,0
#3250 080,14-Oct-20,Wednesday,5,Visa,CVC,£24,Online,Children,United Kingdom,USA,United Kingdom,M,48.5,Barclays,1
#3256 652,14-Oct-20,Wednesday,22,MasterCard,Tap,£23,POS,Products,United Kingdom,India,United Kingdom,M,48.1,Lloyds,0
#2588 721,14-Oct-20,Wednesday,23,MasterCard,PIN,£226,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,45.9,Barclays,0
#3639 210,14-Oct-20,Wednesday,9,MasterCard,CVC,£12,Online,Entertainment,USA,USA,USA,M,45.6,Monzo,0
#3478 603,13-Oct-20,Tuesday,0,MasterCard,PIN,£22,ATM,Electronics,United Kingdom,India,United Kingdom,F,53.8,RBS,1
#3348 821,14-Oct-20,Wednesday,11,MasterCard,PIN,£296,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
#3022 566,13-Oct-20,Tuesday,7,Visa,CVC,£353,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,58.2,Monzo,0
#3532 879,13-Oct-20,Tuesday,10,MasterCard,PIN,£60,POS,Subscription,India,India,United Kingdom,M,50.9,Barclays,0
#3237 241,13-Oct-20,Tuesday,22,MasterCard,PIN,£134,POS,Electronics,United Kingdom,China,United Kingdom,M,40.6,Monzo,0
#2755 798,13-Oct-20,Tuesday,7,Visa,PIN,£12,ATM,Children,United Kingdom,USA,United Kingdom,F,51.9,Barlcays,1
#2644 017,13-Oct-20,Tuesday,21,MasterCard,PIN,£80,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,40,Barclays,0
#2973 712,14-Oct-20,Wednesday,13,MasterCard,CVC,£296,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,41.8,Barlcays,0
#2995 519,14-Oct-20,Wednesday,23,MasterCard,CVC,£241,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,36.6,RBS,0
#2875 470,14-Oct-20,Wednesday,21,Visa,PIN,£86,ATM,Restaurant,Russia,Russia,United Kingdom,F,51.2,Metro,0
#3636 170,13-Oct-20,Tuesday,12,Visa,PIN,£309,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,48.7,Metro,0
#3460 102,13-Oct-20,Tuesday,17,MasterCard,PIN,£23,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,55.1,RBS,0
#2675 985,14-Oct-20,Wednesday,9,MasterCard,PIN,£21,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,58.7,Halifax,0
#2719 075,13-Oct-20,Tuesday,10,Visa,PIN,£161,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,30.3,RBS,0
#3417 074,14-Oct-20,Wednesday,11,MasterCard,PIN,£353,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,48.3,Barclays,0
#3286 525,14-Oct-20,Wednesday,7,MasterCard,CVC,£17,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,62.3,RBS,0
#2806 654,14-Oct-20,Wednesday,19,MasterCard,PIN,£25,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,57.3,Metro,0
#3482 463,13-Oct-20,Tuesday,8,MasterCard,PIN,£261,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,50,Barclays,0
#3373 446,14-Oct-20,Wednesday,23,Visa,Tap,£6,POS,Electronics,United Kingdom,USA,United Kingdom,M,31.5,Barclays,0
#3641 469,14-Oct-20,Wednesday,2,Visa,Tap,£26,POS,Children,United Kingdom,Russia,United Kingdom,M,45.7,Metro,1
#3284 574,14-Oct-20,Wednesday,17,Visa,PIN,£264,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,40.2,Metro,0
#3506 217,13-Oct-20,Tuesday,7,Visa,CVC,£25,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,46.2,RBS,0
#3063 704,14-Oct-20,Wednesday,21,MasterCard,Tap,£10,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,46.9,Metro,0
#3089 858,13-Oct-20,Tuesday,9,MasterCard,PIN,£27,ATM,Children,Russia,United Kingdom,Russia,M,42.6,HSBC,0
#3515 806,14-Oct-20,Wednesday,23,MasterCard,CVC,£12,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,56.8,Metro,0
#2693 237,13-Oct-20,Tuesday,12,Visa,PIN,£53,ATM,Food,China,China,China,M,35.9,Barclays,0
#2548 218,14-Oct-20,Wednesday,7,MasterCard,Tap,£24,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53.8,Barclays,0
#3430 079,13-Oct-20,Tuesday,21,MasterCard,PIN,£119,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,61.8,HSBC,0
#3393 807,14-Oct-20,Wednesday,8,Visa,PIN,£25,ATM,Subscription,China,China,China,M,40.4,Barclays,0
#3085 158,14-Oct-20,Wednesday,15,Visa,Tap,£11,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,33.6,HSBC,0
#3169 897,14-Oct-20,Wednesday,19,Visa,Tap,£26,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,F,49.1,Halifax,0
#3299 824,14-Oct-20,Wednesday,13,Visa,Tap,£19,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,63.3,Lloyds,0
#3373 238,14-Oct-20,Wednesday,17,MasterCard,PIN,£330,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,47.5,Metro,0
#3080 852,13-Oct-20,Tuesday,11,Visa,PIN,£155,POS,Subscription,China,China,China,F,60,Barclays,0
#2679 944,13-Oct-20,Tuesday,20,MasterCard,Tap,£28,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,38,RBS,0
#2849 868,14-Oct-20,Wednesday,10,MasterCard,Tap,£23,POS,Products,USA,USA,USA,F,57.8,Halifax,0
#2888 790,13-Oct-20,Tuesday,19,MasterCard,PIN,£22,ATM,Fashion,India,India,India,M,49.4,Barlcays,0
#3033 906,13-Oct-20,Tuesday,18,Visa,CVC,£19,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,28.5,HSBC,0
#2853 274,13-Oct-20,Tuesday,7,Visa,Tap,£14,POS,Services,India,India,India,M,55.7,Barclays,0
#3348 999,14-Oct-20,Wednesday,16,Visa,PIN,£110,POS,Services,Russia,Russia,Russia,F,45.8,Barlcays,0
#3064 971,13-Oct-20,Tuesday,13,Visa,Tap,£29,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,45.1,Lloyds,0
#2967 234,13-Oct-20,Tuesday,23,MasterCard,Tap,£23,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,33.2,Barclays,0
#2742 824,13-Oct-20,Tuesday,5,Visa,CVC,£18,Online,Food,USA,USA,United Kingdom,M,43.1,HSBC,1
#3602 783,14-Oct-20,Wednesday,19,Visa,PIN,£20,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,M,44.7,RBS,0
#2604 009,14-Oct-20,Wednesday,13,Visa,CVC,£19,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,52.5,Barclays,0
#2784 622,14-Oct-20,Wednesday,3,MasterCard,CVC,£22,Online,Entertainment,Russia,Russia,United Kingdom,M,57.7,Halifax,1
#3250 073,14-Oct-20,Wednesday,18,Visa,Tap,£23,POS,Products,United Kingdom,Russia,United Kingdom,M,45.2,Barclays,0
#3582 633,14-Oct-20,Wednesday,7,MasterCard,CVC,£173,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,61.6,RBS,0
#3659 502,13-Oct-20,Tuesday,16,Visa,CVC,£18,Online,Food,United Kingdom,India,United Kingdom,M,36.3,HSBC,0
#3196 112,13-Oct-20,Tuesday,15,Visa,PIN,£115,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,49.3,Barclays,0
#2719 880,13-Oct-20,Tuesday,13,MasterCard,PIN,£189,POS,Food,China,China,United Kingdom,F,52.8,Barclays,1
#3220 524,13-Oct-20,Tuesday,8,Visa,PIN,£219,POS,Gaming,India,India,United Kingdom,F,50.2,Monzo,0
#3184 657,14-Oct-20,Wednesday,11,Visa,CVC,£10,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,F,41.3,HSBC,0
#3322 447,14-Oct-20,Wednesday,19,MasterCard,PIN,£17,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,30.1,HSBC,0
#3653 884,13-Oct-20,Tuesday,17,MasterCard,PIN,£110,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,67.2,Barclays,0
#3314 821,14-Oct-20,Wednesday,13,Visa,PIN,£268,ATM,Children,USA,United Kingdom,USA,F,59.1,Lloyds,0
#3090 404,14-Oct-20,Wednesday,16,Visa,PIN,£10,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,54.7,Halifax,0
#2655 662,14-Oct-20,Wednesday,13,MasterCard,Tap,£10,POS,Food,USA,USA,United Kingdom,F,36.9,Halifax,0
#2990 462,14-Oct-20,Wednesday,23,Visa,CVC,£27,Online,Subscription,India,India,India,M,48.4,Barclays,0
#3092 232,14-Oct-20,Wednesday,22,Visa,PIN,£20,ATM,Children,Russia,United Kingdom,Russia,F,32.1,Barlcays,0
#3144 958,14-Oct-20,Wednesday,7,MasterCard,CVC,£9,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,55,Metro,0
#3084 978,14-Oct-20,Wednesday,9,Visa,Tap,£11,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,27.2,Barclays,0
#3121 946,14-Oct-20,Wednesday,10,MasterCard,Tap,£6,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,47,Metro,0
#3610 251,13-Oct-20,Tuesday,20,Visa,PIN,£19,ATM,Fashion,United Kingdom,China,United Kingdom,F,53.5,Metro,0
#3315 109,14-Oct-20,Wednesday,23,MasterCard,CVC,£341,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,42.3,Barclays,0
#3436 864,14-Oct-20,Wednesday,8,Visa,PIN,£92,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,F,41.1,Halifax,0
#3009 706,13-Oct-20,Tuesday,8,MasterCard,Tap,£7,POS,Food,USA,USA,USA,F,40.9,HSBC,0
#2712 770,13-Oct-20,Tuesday,18,Visa,PIN,£145,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,48,Metro,0
#3096 560,14-Oct-20,Wednesday,8,Visa,PIN,£382,POS,Subscription,China,China,China,F,42.7,Barclays,0
#3286 840,13-Oct-20,Tuesday,9,Visa,Tap,£9,POS,Products,United Kingdom,United Kingdom,United Kingdom,M,43.4,Metro,0
#2849 439,13-Oct-20,Tuesday,17,MasterCard,CVC,£16,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53.8,Barclays,0
#2952 877,14-Oct-20,Wednesday,18,Visa,PIN,£358,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53.9,Barlcays,0
#3441 659,13-Oct-20,Tuesday,9,Visa,Tap,£7,POS,Children,China,China,United Kingdom,F,46.2,RBS,1
#2573 953,13-Oct-20,Tuesday,7,Visa,PIN,£19,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,39.7,Barclays,0
#3103 826,14-Oct-20,Wednesday,14,Visa,PIN,£318,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,63.9,Barlcays,0
#2837 226,13-Oct-20,Tuesday,21,MasterCard,CVC,£93,Online,Gaming,United Kingdom,USA,United Kingdom,M,48.3,HSBC,0
#2824 230,13-Oct-20,Tuesday,7,Visa,CVC,£66,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,40.3,HSBC,0
#3208 060,13-Oct-20,Tuesday,7,MasterCard,CVC,£6,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,30.6,Barclays,0
#3133 756,14-Oct-20,Wednesday,16,MasterCard,Tap,£27,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,55.8,RBS,0
#3314 279,14-Oct-20,Wednesday,9,Visa,CVC,£130,Online,Entertainment,USA,USA,USA,F,46.2,Halifax,0
#3039 962,13-Oct-20,Tuesday,11,MasterCard,PIN,£98,POS,Fashion,United Kingdom,India,United Kingdom,M,52.2,Barlcays,0
#3672 658,14-Oct-20,Wednesday,19,Visa,CVC,£21,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,47.9,Barlcays,0
#3472 977,14-Oct-20,Wednesday,7,Visa,CVC,£325,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,45.2,Barclays,0
#2880 594,13-Oct-20,Tuesday,20,MasterCard,CVC,£111,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,44.9,Metro,0
#3608 396,14-Oct-20,Wednesday,12,MasterCard,PIN,£380,POS,Gaming,United Kingdom,China,United Kingdom,M,54,Barclays,0
#3476 220,14-Oct-20,Wednesday,16,MasterCard,PIN,£26,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,51.6,Monzo,0
#3162 163,14-Oct-20,Wednesday,16,Visa,PIN,£347,POS,Food,China,China,China,M,41.6,Metro,0
#3455 037,13-Oct-20,Tuesday,17,Visa,PIN,£17,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,39.7,Lloyds,0
#3047 056,14-Oct-20,Wednesday,17,MasterCard,PIN,£325,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,56.7,Metro,0
#2888 542,13-Oct-20,Tuesday,10,Visa,PIN,£27,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,49.4,RBS,0
#2698 680,14-Oct-20,Wednesday,14,MasterCard,Tap,£19,POS,Food,United Kingdom,USA,United Kingdom,M,46.6,Barclays,0
#3389 193,13-Oct-20,Tuesday,18,MasterCard,PIN,£233,ATM,Restaurant,China,China,China,M,60.5,Barclays,0
#3525 996,13-Oct-20,Tuesday,11,Visa,CVC,£143,Online,Food,United Kingdom,China,United Kingdom,M,38.2,Barclays,0
#2759 497,14-Oct-20,Wednesday,9,Visa,PIN,£23,ATM,Products,United Kingdom,Russia,United Kingdom,M,54.4,Barclays,0
#2945 053,13-Oct-20,Tuesday,21,Visa,CVC,£9,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,55.2,RBS,0
#3539 356,14-Oct-20,Wednesday,20,MasterCard,CVC,£129,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,F,42.8,HSBC,0
#3013 195,14-Oct-20,Wednesday,13,Visa,PIN,£70,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,47.1,Metro,0
#3477 023,13-Oct-20,Tuesday,22,MasterCard,CVC,£79,Online,Restaurant,India,India,India,F,58.3,Monzo,0
#3000 313,14-Oct-20,Wednesday,23,MasterCard,Tap,£6,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,58.7,Barlcays,0
#3204 990,14-Oct-20,Wednesday,21,Visa,PIN,£62,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,51.2,Monzo,0
#3590 908,14-Oct-20,Wednesday,8,MasterCard,PIN,£53,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,34.3,Barlcays,0
#3313 846,14-Oct-20,Wednesday,15,Visa,CVC,£375,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,65.3,Barclays,0
#3062 231,13-Oct-20,Tuesday,20,MasterCard,PIN,£52,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,F,36,Lloyds,0
#3178 643,14-Oct-20,Wednesday,9,MasterCard,CVC,£12,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,55.9,HSBC,0
#2849 111,14-Oct-20,Wednesday,18,Visa,CVC,£180,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,54.7,Lloyds,0
#3187 128,14-Oct-20,Wednesday,20,MasterCard,PIN,£95,POS,Restaurant,USA,USA,USA,F,26.3,RBS,0
#2617 592,13-Oct-20,Tuesday,6,Visa,CVC,£26,Online,Products,United Kingdom,Russia,United Kingdom,F,43.3,Monzo,1
#2555 000,13-Oct-20,Tuesday,20,MasterCard,CVC,£241,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,36.2,Metro,0
#3591 534,14-Oct-20,Wednesday,9,MasterCard,PIN,£309,POS,Services,India,India,India,F,55.6,Monzo,0
#3217 967,13-Oct-20,Tuesday,12,MasterCard,CVC,£71,Online,Gaming,United Kingdom,India,United Kingdom,M,68.9,Barclays,0
#3621 484,14-Oct-20,Wednesday,9,Visa,CVC,£11,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,56.8,Monzo,0
#2597 817,13-Oct-20,Tuesday,19,Visa,CVC,£21,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,25.1,HSBC,0
#3510 713,13-Oct-20,Tuesday,17,MasterCard,Tap,£22,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,M,54.2,Halifax,0
#3204 979,14-Oct-20,Wednesday,7,Visa,PIN,£9,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,39.5,Barclays,0
#2999 087,14-Oct-20,Wednesday,18,Visa,PIN,£87,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,33.1,Barclays,0
#3571 023,13-Oct-20,Tuesday,19,MasterCard,CVC,£340,Online,Products,United Kingdom,USA,United Kingdom,M,43.3,Barclays,0
#3407 727,13-Oct-20,Tuesday,13,Visa,PIN,£169,ATM,Entertainment,United Kingdom,China,United Kingdom,M,56.1,Barclays,0
#2603 517,13-Oct-20,Tuesday,20,Visa,PIN,£345,ATM,Food,Russia,Russia,Russia,M,39.6,Barclays,0
#2613 795,14-Oct-20,Wednesday,9,Visa,PIN,£226,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,50.3,Lloyds,0
#3520 099,14-Oct-20,Wednesday,22,MasterCard,CVC,£384,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,60.4,Monzo,0
#3653 700,14-Oct-20,Wednesday,23,Visa,CVC,£298,Online,Children,USA,United Kingdom,USA,F,45.9,Barclays,0
#3322 094,13-Oct-20,Tuesday,14,Visa,CVC,£229,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,57.6,Barlcays,0
#3217 219,13-Oct-20,Tuesday,10,Visa,CVC,£34,Online,Children,United Kingdom,Russia,United Kingdom,F,27.5,RBS,0
#2773 658,14-Oct-20,Wednesday,9,Visa,PIN,£14,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,41.9,Barlcays,0
#3384 743,14-Oct-20,Wednesday,21,MasterCard,CVC,£36,Online,Entertainment,United Kingdom,Russia,United Kingdom,M,33.2,RBS,0
#3632 663,13-Oct-20,Tuesday,18,Visa,CVC,£19,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,36.5,Barclays,0
#3490 266,13-Oct-20,Tuesday,19,MasterCard,PIN,£29,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,40.4,Barclays,0
#3219 618,13-Oct-20,Tuesday,18,MasterCard,PIN,£216,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,M,48,HSBC,0
#3312 404,14-Oct-20,Wednesday,0,MasterCard,Tap,£12,POS,Subscription,India,India,United Kingdom,M,34.8,Halifax,1
#3582 140,14-Oct-20,Wednesday,19,MasterCard,Tap,£24,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,F,49.8,Barclays,0
#3380 749,14-Oct-20,Wednesday,8,MasterCard,PIN,£20,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,38.8,Barclays,0
#2886 851,14-Oct-20,Wednesday,13,MasterCard,CVC,£22,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,54.1,HSBC,0
#3478 488,14-Oct-20,Wednesday,7,MasterCard,Tap,£10,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,46.5,Monzo,0
#3554 455,13-Oct-20,Tuesday,10,MasterCard,PIN,£337,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,43.2,Barclays,0
